election,active_date,status,active_reason,committee_id
2012 General Election,08/24/2012,Active,System Generated / Primary or General Election,5724
2012 Primary Election,05/23/2011,Active,System Generated / Primary or General Election,5724
2010 General Election,08/13/2010,Active,System Generated / Primary or General Election,5724
2010 Primary Election,01/11/2009,Active,System Generated / Primary or General Election,5724
2008 General Election,08/05/2008,Active,System Generated / Primary or General Election,5724
2008 Primary Election,03/08/2008,Active,System Generated / Primary or General Election,5724
2004 General Election,,Active,,5724
2016 General Election,08/08/2016,Active,System Generated / Primary or General Election,5580
2016 Primary Election,02/03/2016,Active,System Generated / Primary or General Election,5580
2014 General Election,08/04/2014,Active,System Generated / Primary or General Election,5580
2014 Primary Election,02/24/2014,Active,System Generated / Primary or General Election,5580
2013 May Election,02/26/2013,Active,Statement of Organization,5580
2012 General Election,08/24/2012,Active,System Generated / Primary or General Election,5580
2012 Primary Election,02/21/2012,Active,System Generated / Primary or General Election,5580
2011 May Election,03/24/2011,Active,Statement of Organization,5580
2010 General Election,08/13/2010,Active,System Generated / Primary or General Election,5580
2010 Primary Election,03/05/2010,Active,System Generated / Primary or General Election,5580
2008 General Election,08/05/2008,Active,System Generated / Primary or General Election,5580
2008 Primary Election,03/08/2008,Active,System Generated / Primary or General Election,5580
2004 General Election,,Active,,5580
2017 May Election,03/22/2017,Active,Statement of Organization,5670
2016 General Election,08/08/2016,Active,System Generated / Primary or General Election,5670
2016 Primary Election,02/03/2016,Active,System Generated / Primary or General Election,5670
2014 General Election,08/04/2014,Active,System Generated / Primary or General Election,5670
2014 Primary Election,02/24/2014,Active,System Generated / Primary or General Election,5670
2012 General Election,08/24/2012,Active,System Generated / Primary or General Election,5670
2012 Primary Election,02/21/2012,Active,System Generated / Primary or General Election,5670
2010 General Election,08/13/2010,Active,System Generated / Primary or General Election,5670
2010 Primary Election,03/05/2010,Active,System Generated / Primary or General Election,5670
2008 General Election,08/05/2008,Active,System Generated / Primary or General Election,5670
2008 Primary Election,03/08/2008,Active,System Generated / Primary or General Election,5670
2005 November Election,,Active,,5670
2016 General Election,08/08/2016,Active,System Generated / Primary or General Election,4985
2016 Primary Election,02/03/2016,Active,System Generated / Primary or General Election,4985
2014 General Election,08/04/2014,Active,System Generated / Primary or General Election,4985
2014 Primary Election,02/24/2014,Active,System Generated / Primary or General Election,4985
2012 General Election,08/24/2012,Active,System Generated / Primary or General Election,4985
2012 Primary Election,12/14/2010,Active,Contribution to Active Candidate or Measure Committee,4985
2010 General Election,07/12/2010,Active,Contribution to Active Candidate or Measure Committee,4985
2010 Primary Election,09/09/2009,Active,Contribution to Active Candidate or Measure Committee,4985
2010 Statewide Special Election,12/15/2009,Active,Contribution to Active Candidate or Measure Committee,4985
2008 General Election,08/05/2008,Active,System Generated / Primary or General Election,4985
2008 Primary Election,09/28/2007,Active,Contribution to Active Candidate or Measure Committee,4985
2006 General Election,,Inactive,,4985
2006 Primary Election,03/14/2006,Active,System Generated / Primary or General Election,4985
2004 General Election,,Inactive,,4985
2016 General Election,08/08/2016,Active,System Generated / Primary or General Election,6285
2016 Primary Election,02/03/2016,Active,System Generated / Primary or General Election,6285
2014 General Election,08/04/2014,Active,System Generated / Primary or General Election,6285
2014 Primary Election,02/24/2014,Active,System Generated / Primary or General Election,6285
2012 General Election,08/24/2012,Active,System Generated / Primary or General Election,6285
2012 Primary Election,02/21/2012,Active,System Generated / Primary or General Election,6285
2010 General Election,12/21/2009,Active,Statement of Organization,6285
2010 Primary Election,03/05/2010,Active,System Generated / Primary or General Election,6285
2008 General Election,08/05/2008,Active,System Generated / Primary or General Election,6285
2008 Primary Election,03/08/2008,Active,System Generated / Primary or General Election,6285
2006 Primary Election,,Active,,6285
2016 General Election,08/08/2016,Active,System Generated / Primary or General Election,4193
2016 Primary Election,02/03/2016,Active,System Generated / Primary or General Election,4193
2014 General Election,08/04/2014,Active,System Generated / Primary or General Election,4193
2014 Primary Election,12/31/2013,Active,System Generated / Primary or General Election,4193
2012 General Election,08/24/2012,Active,System Generated / Primary or General Election,4193
2012 Primary Election,02/21/2012,Active,System Generated / Primary or General Election,4193
2010 General Election,08/13/2010,Active,System Generated / Primary or General Election,4193
2010 Primary Election,03/05/2010,Active,System Generated / Primary or General Election,4193
2008 General Election,,Inactive,User Requested Inactivation,4193
2008 Primary Election,11/02/2007,Active,Statement of Organization,4193
2006 General Election,,Active,,4193
2002 Primary Election,,Inactive,,4193
2018 Primary Election,12/28/2017,Active,System Generated / Primary or General Election,5783
2016 General Election,08/08/2016,Active,System Generated / Primary or General Election,5783
2016 Primary Election,02/03/2016,Active,System Generated / Primary or General Election,5783
2014 General Election,08/04/2014,Active,System Generated / Primary or General Election,5783
2014 Primary Election,02/24/2014,Active,System Generated / Primary or General Election,5783
2012 General Election,08/24/2012,Active,System Generated / Primary or General Election,5783
2012 Primary Election,02/21/2012,Active,System Generated / Primary or General Election,5783
2010 General Election,07/30/2010,Active,System Generated / Primary or General Election,5783
2010 Primary Election,03/05/2010,Active,System Generated / Primary or General Election,5783
2008 General Election,08/05/2008,Active,System Generated / Primary or General Election,5783
2008 Primary Election,03/08/2008,Active,System Generated / Primary or General Election,5783
2006 General Election,01/11/2010,Active,Statement of Organization,5783
2016 General Election,08/08/2016,Active,System Generated / Primary or General Election,3604
