,1
Hansen_Bernt_(Al),2
Hansen_Bernt_(Al)_(D),1
Hansen_Gary_D,1
Hansen_Gary_D_(D),1
Hansen_Scott,1
Hansen_Scott_(R),1
Hantke_David_W,1
Harcleroad_Doug,1
Harding_Hal,1
Harisay_Rich_(D),1
Harisay_Richard,2
Harisay_Richard_(D),1
Harisay_Richard_(DEM),1
Harker_Chris,2
Harker_Chris_(D),2
Harker_Chris_(DEM),1
Harmon_Kitty_C,1
Harmon_Kitty_C_(REP),1
Haroldson_John,2
Harrington_Ginger_Lee,1
Harrington_Michael,1
Harrington_Michael_(R),1
Harrington_Michael_H_(R),1
Harris_Dan,1
Harris_Daniel_L,1
Harris_Ginger_Lee,1
Harsin_Dallas,1
Hart_Tom,2
Harwood_Scott_(L),1
Haselton_Rick,2
Haslinger_Barbara,1
Hass_Mark,3
Hass_Mark_(D),3
Haugen_Joel,1
Haugen_Joel_(I),1
Hauser_Geri,1
Hauser_Geri_(D),1
Haven_Greg,1
Hayden_Cedric_(R),1
Haynes_Andrew,1
Hayward_Elizabeth_Steiner,1
Heard_Dallas_(R),1
Heckert_Beth,1
Hedbor_Lars_D_H_(L),1
Heiser_Scott_A,1
Helm_Ken_(D),1
Henderson_III_Paul_L,1
Henderson_Paul_L,1
Hennrich_Mary_Lou,1
Henry_Chris_(P),2
Henry_Chris_(PG),1
Henry_Chris_(PGP),1
Henry_Eveleen,1
Hermann_Bob,2
Hernandez_Marco_A,1
Herndon_Robert_D,2
Herr_David_B,1
Heuer_Douglas_J,1
Hicks_Wally,2
Hicks_Wally(WI),1
Hicks_Wally_(R),1
Hicks_Wally_(REP),1
Hicks_Wally_(WI),1
Hill_Andrew,1
Hill_Andrew_(R),1
Hill_Daniel_J,2
Hill_Jim,1
Hill_Jonathan_R,1
Hill_Norman_R,1
Hill_Thomas_A,2
Hill_Tyler_(REP),1
Hillesland_Gordon,3
Hillman_Annette_C,1
Hobbs_Will,1
Hochberg_Charles,1
Hochberg_Charles_(D),1
Hodson_Jerry_B,2
Holcomb_Janet_Schoenhard,2
Holland_Lauren_S,2
